"establecimiento_id","establecimiento_nombre","localidad_id","localidad_nombre","provincia_id","provincia_nombre","departamento_id","departamento_nombre","cod_loc","cod_ent ","origen_financiamiento","tipologia_id","tipologia_nombre","tipologia","cp","domicilio","sitio_web"
70064272314162,"ALEST FARMACEUTICA SCS",6427010005,"ISIDRO CASANOVA",6,"BUENOS AIRES",427,"LA MATANZA",10,5,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"PERIBEBUY 5722",
70068682314163,"FARMACIA BARRIO NORTE S.C.S.",6868020000,"VILLA GESELL",6,"BUENOS AIRES",868,"VILLA GESELL",20,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",7165,"AV.BUENOS AIRES 584",
70062452314164,"SBRASCINI",6245010002,"ENSENADA",6,"BUENOS AIRES",245,"ENSENADA",10,2,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1925,"PERU 585",
70064272314165,"CIENTIFICA COBO Y JOSE HERNANDEZ S.C.S.",6427010003,"GONZALEZ CATAN",6,"BUENOS AIRES",427,"LA MATANZA",10,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"JUAN COBO 5852",
70065392314166,"FARMACIA ARES SCS",6539010003,"MERLO",6,"BUENOS AIRES",539,"MERLO",10,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1722,"REAL 589",
70064272314167,"SCELZO",6427010005,"ISIDRO CASANOVA",6,"BUENOS AIRES",427,"LA MATANZA",10,5,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1765,"CRISTIANIA 5901",
70064272314168,"CARRICARTE",6427010005,"ISIDRO CASANOVA",6,"BUENOS AIRES",427,"LA MATANZA",10,5,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1765,"Avenida Crovara 5911",
70065052314169,"GARCIA",6505040000,"MAGDALENA",6,"BUENOS AIRES",505,"MAGDALENA",40,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1913,"GOENAGA 592",
70060352314170,"GARZON",6035010009,"WILDE",6,"BUENOS AIRES",35,"AVELLANEDA",10,9,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"CRISOLOGO LARRALDE 5924",
70061612314171,"ARMANASCO",6161010000,"CARMEN DE ARECO",6,"BUENOS AIRES",161,"CARMEN DE ARECO",10,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",6725,"AV. SARMIENTO 594",
70061612314172,"ECHENIQUE",6161010000,"CARMEN DE ARECO",6,"BUENOS AIRES",161,"CARMEN DE ARECO",10,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",6725,"RIVADAVIA 602",
70060282314173,"NUEVA SEGUI S.C.S.",6028010001,"ADROGUE",6,"BUENOS AIRES",28,"ALMIRANTE BROWN",10,1,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1846,"Francisco Seguí 602",
70060492314174,"BURGAN",6049020000,"AZUL",6,"BUENOS AIRES",49,"AZUL",20,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",7300,"Avenida Bartolomé Mitre 602",
70062602314175,"MENDES",6260010004,"MONTE GRANDE",6,"BUENOS AIRES",260,"ESTEBAN ECHEVERRÍA",10,4,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1842,"SAN MARTIN 602",
70067912314176,"SUIZA",6791050000,"TANDIL",6,"BUENOS AIRES",791,"TANDIL",50,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",7000,"AVDA. ESPAÃ‘ 602",
70061752314177,"NOE",6175010000,"COLON",6,"BUENOS AIRES",175,"COLÓN",10,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",2720,"BOULEVARD 50 603",
70063712314178,"TROPEZON",6371010003,"CIUDAD DEL LIBERTADOR GENERAL SAN MARTIN",6,"BUENOS AIRES",371,"GENERAL SAN MARTÍN",10,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1650,"AVDA. 1Âº DE MAYO 6037",
70061192314179,"RURAL DAL BUONI",6119070000,"JEPPENER",6,"BUENOS AIRES",119,"BRANDSEN",70,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"SAN MARTIN 604",
70064272314180,"FARMACIA RIGLOS S.C.S.",6427010003,"GONZALEZ CATAN",6,"BUENOS AIRES",427,"LA MATANZA",10,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"JUAN COBO 6052",
70064122314181,"DEL FRESNO",6412010002,"JOSE C. PAZ",6,"BUENOS AIRES",412,"JOSÉ C. PAZ",10,2,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1665,"GASPAR CAMPOS 6055",
70062602314915,"ALEM SUR S.C.S.",6260010004,"MONTE GRANDE",6,"BUENOS AIRES",260,"ESTEBAN ECHEVERRÍA",10,4,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"ALEM 3077",
70064202314916,"FARM - AJO, S.C.S.",6420020003,"MAR DE AJO",6,"BUENOS AIRES",420,"LA COSTA",20,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"TUCUMAN 1434",
70064272314917,"CIENTIFICA NUEVA MORALES S.C.S.",6427010004,"GREGORIO DE LAFERRERE",6,"BUENOS AIRES",427,"LA MATANZA",10,4,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1757,"AV DEL TEJAR 5997",
70065742314918,"FARMACIA PLAZA SAN LORENZO S.C.S. (EN FORMACION)",6574030000,"NAVARRO",6,"BUENOS AIRES",574,"NAVARRO",30,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",6605,"22 380",
70064902314919,"FARMACIA GALLELLI",6490010003,"LOMAS DE ZAMORA",6,"BUENOS AIRES",490,"LOMAS DE ZAMORA",10,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1832,"AVENIDA ALSINA 1352",
70064412314920,"CENTRO DE RETIRADOS DE LA ARMADA NACIONAL DE PROTECCION RECIPROCA",6441030017,"LOS HORNOS",6,"BUENOS AIRES",441,"LA PLATA",30,17,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1900,"57 1880",
70060282314921,"CUADRA GERARDO ADRIAN",6028010011,"SAN FRANCISCO SOLANO",6,"BUENOS AIRES",28,"ALMIRANTE BROWN",10,11,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"DONATO ALVAREZ 2162",
70065392314922,"ZAMUDIO FARMACEUTICA S C S",6539010002,"MARIANO ACOSTA",6,"BUENOS AIRES",539,"MERLO",10,2,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1723,"F. ALCORTA Y SUPERI 9502",
70065182314923,"ZAMBECCHI MARIELA",6518060005,"SANTA CLARA DEL MAR",6,"BUENOS AIRES",518,"MAR CHIQUITA",60,5,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",7609,"ACAPULCO 735",
70064272314924,"4M FARMA SOCIEDAD EN COMANDITA SIMPLE",6427010005,"ISIDRO CASANOVA",6,"BUENOS AIRES",427,"LA MATANZA",10,5,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"GUILLERMO MARCONI 5927",
70062742314925,"STEPANSKY ITA LEA",6274010003,"FLORENCIO VARELA",6,"BUENOS AIRES",274,"FLORENCIO VARELA",10,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"MONTEAGUDO 99",
70063572314926,"ROMERO ROMINA BELEN",6357110003,"MAR DEL PLATA",6,"BUENOS AIRES",357,"GENERAL PUEYRREDÓN",110,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",7600,"AV. LIBERTAD 3499",
70064082314927,"MUNICIPALIDAD DE HURLINGHAM",6408010001,"HURLINGHAM",6,"BUENOS AIRES",408,"HURLINGHAM",10,1,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"ARGERICH 1650",
70060912314928,"PALAVECINO PAULO GABRIEL",6091010009,"RANELAGH",6,"BUENOS AIRES",91,"BERAZATEGUI",10,9,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"316 1983",
70066442314929,"ROMERO MONDINO ALEJANDRO DEMETRIO",6644010002,"OSTENDE",6,"BUENOS AIRES",644,"PINAMAR",10,2,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"SAN MARTIN 268",
70060582314930,"ELIZAINCIN MARTIN IGNACIO",6658010006,"QUILMES",6,"BUENOS AIRES",658,"QUILMES",10,6,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"AV. 12 DE OCTUBRE 2973",
70065392314931,"AGUER RODOLFO ALEJANDRO",6539010002,"MARIANO ACOSTA",6,"BUENOS AIRES",539,"MERLO",10,2,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"DR. RICARDO BALBIN 8686",
70063572314932,"PHARMA VIP SCS",6357110003,"MAR DEL PLATA",6,"BUENOS AIRES",357,"GENERAL PUEYRREDÓN",110,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"AVDA MARIO BRAVO 3453",
70064902314933,"FARMATHEA SOCIEDAD EN COMANDITA SIMPLE EN FORMACION",6490010001,"BANFIELD",6,"BUENOS AIRES",490,"LOMAS DE ZAMORA",10,1,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1827,"Alsina 3",
70065682314934,"FARMACIA MARCONI 1986 SOC S.C.S. EN FORMACIÃ“",6568010002,"EL PALOMAR",6,"BUENOS AIRES",568,"MORÓN",10,2,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1684,"MARCONI 1986",
70062102314935,"VESPASIANO IVAN ARIEL",6210020000,"CHACABUCO",6,"BUENOS AIRES",210,"CHACABUCO",20,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",6740,"SANTIAGO DEL ESTERO  40",
70064102314936,"MUSSARI NORMA BEATRIZ",6410010002,"ITUZAINGO SUR",6,"BUENOS AIRES",410,"ITUZAINGÓ",10,2,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"OLAZABAL  1301",
70063712314937,"CAZES DIANA ROSA",6371050,"LOMA HERMOSA",6,"BUENOS AIRES",371,"GENERAL SAN MARTÍN",50,,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"RUTA 8 KM 21 S/N",
70062242314938,"ROLANDO YANINA MELISA",6224050000,"MOQUEHUA",6,"BUENOS AIRES",224,"CHIVILCOY",50,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"SAN MARTIN  214",
70060582314939,"JUSZCZUK SOCIEDAD EN COMANDITA SIMPLE",6658010006,"QUILMES",6,"BUENOS AIRES",658,"QUILMES",10,6,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1878,"HIPOLITO YRIGOYEN 185",
70063712314940,"MOYANO GUSTAVO ARIEL",6371050,"LOMA HERMOSA",6,"BUENOS AIRES",371,"GENERAL SAN MARTÍN",50,,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"RUTA 8 9088",
